,h1,h2,h3,h4,h5,h6
ModernTFT,0.0417256255620685,0.04336467395750423,0.04543268525338485,0.04494647300939114,0.04587130945493978,0.04519671624520259
SeasonalNaive,0.03615010229329056,0.035732159558376345,0.03675968602886869,0.03462354186055277,0.03546558510921103,0.036896890566167344
Chronos,0.0451007540672277,0.04871235370758724,0.05319280596962835,0.05322033628537704,0.05343548835590666,0.054952451483826666
TimesFM,0.0395268224090443,0.04215410807653183,0.04562228433537711,0.04523834307365457,0.04508831482159315,0.046579846148269315
Moirai,0.042298999426251184,0.05238680654775092,0.05292942214476766,0.04810759680661677,0.057981719717396296,0.053004123887161206
TabPFN,0.03948569187721601,0.043818408201884734,0.04538307782645761,0.04405068546498963,0.04368353398970772,0.042629183647735804
