,WAPE,MASE,MAE,RMSE,sMAPE,bias,pinball,cov_25_75,cov_10_90,n_rows,train_minutes
SeasonalNaive,0.0359389907576461,0.6635207984653428,26503.013336389962,58438.31763950215,0.07831092056293783,-15846.496112813327,11173.291377343228,0.7408483439860546,0.9184582607011428,10326.0,0.0
TabPFN,0.04317648248795648,0.7971424219596024,31840.262263159533,76254.57503567313,0.09200094742761285,-12734.993508988593,11498.594525530774,0.3833042804570986,0.6836141778036026,10326.0,0.0
TimesFM,0.044042475695150754,0.8131307536347443,32478.884245459074,78891.13253739754,0.1051610584864863,-12309.121748602334,11723.31629121177,0.46629866356769323,0.8028278132868487,10326.0,0.0
ModernTFT,0.044426795397260126,0.8202262259959241,32762.29872025968,65258.46035272605,0.09345081559997448,4592.404909689903,12145.9817544316,0.43860158822390083,0.6925237265155917,10326.0,11.66
Moirai,0.05112715545879451,0.9439310981781995,37703.44281823856,98710.48498213077,0.1236276618844003,-4782.315805515292,14599.534224822408,0.520337013364323,0.8677125702111176,10326.0,0.0
Chronos,0.05144642685724645,0.9498256213343041,37938.88777517017,111587.63137196311,0.1144351293320598,-5326.820296090727,14004.814349875442,0.5882239008328491,0.9279488669378269,10326.0,0.0
