rival,reference,WAPE_gap(rival-ref),boot_CI95_lo,boot_CI95_hi,p_reference_wins,DM_stat,DM_p_value,n_shared_rows,n_series,verdict
SeasonalNaive,ModernTFT,-0.009147983775988501,-0.014252085000442954,-0.005199859201272634,0.0,-4.894826952299019,9.839226897688874e-07,51876,144,rival SIGNIFICANTLY better
Chronos,ModernTFT,0.004311893597852091,-0.003552631957968465,0.01386858462733123,0.8455,1.008259959605764,0.3133296797752233,51876,144,TIE (CI straddles 0)
TimesFM,ModernTFT,-0.0008989290061806182,-0.006057293984163102,0.00445647388209625,0.3565,-0.3253969433918498,0.7448806685754683,51876,144,TIE (CI straddles 0)
Moirai,ModernTFT,0.005011520760774178,-0.002871967352725114,0.015037511454658328,0.8965,1.1873021773785002,0.23510844956103455,51876,144,TIE (CI straddles 0)
TabPFN,ModernTFT,-0.001960806963647692,-0.00692909959863436,0.003082996499655495,0.208,-0.7983763733642495,0.424652109799544,51876,144,TIE (CI straddles 0)
