,WAPE,MASE,MAE,RMSE,sMAPE,bias,pinball,cov_25_75,cov_10_90,n_rows,train_minutes
TimesFM,0.4102448614683505,1.0449449125146122,4.126675880074359,13.325586182278679,0.7553488663652637,-1.1195779113689472,1.5242410680222553,0.4216111111111111,0.6671666666666667,18000.0,0.0
Chronos,0.41665649111475134,1.0612761342048838,4.19117081931399,13.11973006197535,0.769399476154884,-1.2587880340168887,1.5300490252665446,0.4461111111111111,0.7025555555555556,18000.0,0.0
ModernTFT,0.42373461509988203,1.079305000238543,4.26237006217853,14.343019178488346,0.7197931455769524,-1.993957374900596,1.5401540650829488,0.4898888888888889,0.7977222222222222,18000.0,572.02
TabPFN,0.4267302615070629,1.0869352858725234,4.292503436011655,13.376551809353751,0.7632389420942234,-0.777135086814465,1.5804261747327781,0.4086111111111111,0.6545,18000.0,0.0
Moirai,0.4398917001538848,1.1204591143152371,4.424895079423156,14.497268487604497,0.7842737940801189,-0.513633381392394,1.6252661904950518,0.39005555555555554,0.6603333333333333,18000.0,0.0
SeasonalNaive,0.4772869113633775,1.215709388909556,4.801055588969002,14.615659919915458,0.8575619245277378,-0.3907222312285591,1.8261295830660411,0.5898333333333333,0.7711111111111111,18000.0,0.0
