rival,reference,WAPE_gap(rival-ref),boot_CI95_lo,boot_CI95_hi,p_reference_wins,DM_stat,DM_p_value,n_shared_rows,n_series,verdict
SeasonalNaive,ModernTFT,0.05355229626349545,0.03064680305742542,0.07699311030791472,1.0,4.721036203325501,2.346461647559215e-06,18000,3000,reference SIGNIFICANTLY better
Chronos,ModernTFT,-0.007078123985130691,-0.021566676162318797,0.005570499971376023,0.1575,-1.0080627496184587,0.31342433897543376,18000,3000,TIE (CI straddles 0)
TimesFM,ModernTFT,-0.013489753631531542,-0.026507735718200424,-0.001713457082163461,0.01,-1.9590427684811997,0.050107778328810235,18000,3000,rival SIGNIFICANTLY better
Moirai,ModernTFT,0.016157085054002762,-0.005537084525905741,0.04031231457355333,0.9305,1.397948354691532,0.16212857652197818,18000,3000,TIE (CI straddles 0)
TabPFN,ModernTFT,0.002995646407180863,-0.013152127368408768,0.0186635507882995,0.6645,0.3725950109335789,0.7094498865916442,18000,3000,TIE (CI straddles 0)
