,h1,h2,h3,h4,h5,h6
ModernTFT,0.384318144564493,0.3957221372895504,0.40756420459309495,0.42439369711364444,0.4372675266974033,0.4953908642634925
SeasonalNaive,0.4061477498977444,0.45303959308390984,0.4799745546743937,0.475242645437395,0.4869666162742851,0.5655622405608209
Chronos,0.35356539625451516,0.38736236642991567,0.4026610174482457,0.4200373722921306,0.43583493940769596,0.5031612255536477
TimesFM,0.35708654750892915,0.3846221565306346,0.39848536986085203,0.404309172974194,0.42363643096245324,0.496217426682389
Moirai,0.3719512791836563,0.4102612908204687,0.43744376720668904,0.4391898884084498,0.4562803593491343,0.5271851110615516
TabPFN,0.3719530851818507,0.3999849330047208,0.4168212710776348,0.4312327194670342,0.4382571427714548,0.5047102351138526
