rival,reference,WAPE_gap(rival-ref),boot_CI95_lo,boot_CI95_hi,p_reference_wins,DM_stat,DM_p_value,n_shared_rows,n_series,verdict
SeasonalNaive,ModernTFT,0.011821018840873387,0.004895338853116981,0.02145530831727239,0.9995,3.1771166608303845,0.001487471884666348,51876,144,reference SIGNIFICANTLY better
Chronos,ModernTFT,0.004009464444254367,-0.0031628253120691697,0.013049920642170787,0.8445,1.0018155414061163,0.3164326897052382,51876,144,TIE (CI straddles 0)
TimesFM,ModernTFT,-0.001201358159778343,-0.005928830347515018,0.004237294328493272,0.3065,-0.4672583092932596,0.6403150804110926,51876,144,TIE (CI straddles 0)
Moirai,ModernTFT,0.0047090916071764535,-0.0025653991111816155,0.014436616347500299,0.889,1.1942027522881102,0.23239866674879922,51876,144,TIE (CI straddles 0)
TabPFN,ModernTFT,-0.0022632361172454166,-0.006644484816134751,0.002277942306965651,0.157,-1.00220117970319,0.3162464381614518,51876,144,TIE (CI straddles 0)
