,WAPE,MASE,MAE,RMSE,sMAPE,bias,pinball,cov_25_75,cov_10_90,n_rows,train_minutes
TabPFN,0.04317648248795648,0.7971424219596024,31840.262263159533,76254.57503567313,0.09200094742761285,-12734.993508988593,11498.594525530774,0.3833042804570986,0.6836141778036026,10326.0,0.0
TimesFM,0.044042475695150754,0.8131307536347443,32478.884245459074,78891.13253739754,0.1051610584864863,-12309.121748602334,11723.31629121177,0.46629866356769323,0.8028278132868487,10326.0,0.0
ModernTFT,0.04513876487091049,0.8333709065693187,33287.33673767378,71734.58883265081,0.09311448883184761,-2377.9143821601715,11774.72181709354,0.48024404416037186,0.7589579701723804,10326.0,14.17
Moirai,0.05112715545879451,0.9439310981781995,37703.44281823856,98710.48498213077,0.1236276618844003,-4782.315805515292,14599.534224822408,0.520337013364323,0.8677125702111176,10326.0,0.0
Chronos,0.05144642685724645,0.9498256213343041,37938.88777517017,111587.63137196311,0.1144351293320598,-5326.820296090727,14004.814349875442,0.5882239008328491,0.9279488669378269,10326.0,0.0
SeasonalNaive,0.057249457286611245,1.0569636155527875,42218.30101462546,100929.5068484028,0.12578016912315101,-4494.086080569019,16558.60425742351,0.700464846019756,0.9341468138679062,10326.0,0.0
