,h1,h2,h3,h4,h5,h6
ModernTFT,0.04196984506745084,0.04206798614340523,0.044846466620442026,0.045575823457048054,0.04768343493483586,0.04863405150315615
SeasonalNaive,0.05643688425727751,0.057044115580861345,0.053347614100434065,0.06272760834967489,0.05782173246407922,0.05612241180212414
Chronos,0.0451007540672277,0.04871235370758724,0.05319280596962835,0.05322033628537704,0.05343548835590666,0.054952451483826666
TimesFM,0.0395268224090443,0.04215410807653183,0.04562228433537711,0.04523834307365457,0.04508831482159315,0.046579846148269315
Moirai,0.042298999426251184,0.05238680654775092,0.05292942214476766,0.04810759680661677,0.057981719717396296,0.053004123887161206
TabPFN,0.03948569187721601,0.043818408201884734,0.04538307782645761,0.04405068546498963,0.04368353398970772,0.042629183647735804
