rival,reference,WAPE_gap(rival-ref),boot_CI95_lo,boot_CI95_hi,p_reference_wins,DM_stat,DM_p_value,n_shared_rows,n_series,verdict
SeasonalNaive,ModernTFT,-0.004798580289656455,-0.009445942966905974,-0.0012671460918550874,0.004,-2.59706603935147,0.009402384503493112,51876,144,rival SIGNIFICANTLY better
Chronos,ModernTFT,0.008661297084184137,0.002587492231611297,0.016854031885714806,0.9985,2.6167668852701578,0.00887669407067076,51876,144,reference SIGNIFICANTLY better
TimesFM,ModernTFT,0.0034504744801514275,2.4267984197959282e-05,0.007433305163373973,0.9755,1.997849497733351,0.04573297920496593,51876,144,reference SIGNIFICANTLY better
Moirai,ModernTFT,0.009360924247106224,0.003462509358680753,0.017666413458716487,0.9995,2.9285038824472416,0.003405975790235783,51876,144,reference SIGNIFICANTLY better
TabPFN,ModernTFT,0.002388596522684354,-0.0005290767274339581,0.005525669089839583,0.941,1.5817183636922196,0.11371387861164296,51876,144,TIE (CI straddles 0)
