seed,rival,gap,ci_lo,ci_hi,DM,DM_p,n_series,verdict
42,SeasonalNaive,-0.009199774113264385,-0.013350630703061053,-0.005891157947614134,-5.044362142744929,4.550367618248897e-07,144,rival
42,Chronos,0.006307661986335963,-0.0019810379720017588,0.017098277517915393,1.3674640855697424,0.17147988699756558,144,TIE
42,TimesFM,-0.0010962891757597334,-0.005797872909793684,0.004152581382220309,-0.43912481872015197,0.6605710966403918,144,TIE
42,Moirai,0.005988390587884022,-0.0014793657244647257,0.015978114931795122,1.4707425240002747,0.141360761392961,144,TIE
42,TabPFN,-0.0019622823829540045,-0.006331359230255686,0.0023723746806549846,-0.8820591268573067,0.3777448338209172,144,TIE
43,SeasonalNaive,-0.0039151994156148145,-0.00827442163117112,-0.00026894182250074175,-2.0676062384886515,0.03867706498007041,144,rival
43,Chronos,0.011592236683985534,0.004121509490364325,0.021787077628545752,2.9145523203509747,0.0035619909678564626,144,TFT
43,TimesFM,0.004188285521889837,0.0009551489612177553,0.008003287317029862,2.501462839048883,0.012368142162681799,144,TFT
43,Moirai,0.011272965285533593,0.005292466698899788,0.020075943139623475,3.3452843100995993,0.0008219826410771369,144,TFT
43,TabPFN,0.0033222923146955657,7.008096484271957e-05,0.0064137395167991225,2.10591328455746,0.03521188550393469,144,TFT
44,SeasonalNaive,-0.008487804639614023,-0.014115921923369856,-0.004116491514657927,-4.308383787378434,1.644518461099534e-05,144,rival
44,Chronos,0.007019631459986325,-0.0015605788577905011,0.01845667714470012,1.4353535596905196,0.1511863725218172,144,TIE
44,TimesFM,-0.00038431970210937166,-0.005721395176904,0.005213681361984125,-0.14337727633455782,0.885992228403267,144,TIE
44,Moirai,0.006700360061534384,-0.0011183923114912288,0.01657796214396942,1.5376007146510167,0.12414627262961776,144,TIE
44,TabPFN,-0.0012503129093036427,-0.006369070993699657,0.0036734113799674417,-0.5110793060391394,0.6092955257318856,144,TIE
