,WAPE,MASE,MAE,RMSE,bias,pinball,cov_10_90,cov_25_75
TimesFM,0.4102448614683505,1.0449449125146122,4.126675880074359,13.325586182278679,-1.1195779113689472,1.5242410680222558,0.6671666666666667,0.4216111111111111
Chronos,0.41665649111475134,1.0612761342048838,4.19117081931399,13.119730061975348,-1.2587880340168887,1.5300490252665446,0.7025555555555556,0.4461111111111111
TabPFN,0.4267302615070629,1.0869352858725234,4.292503436011655,13.376551809353751,-0.777135086814465,1.5804261747327781,0.6545,0.4086111111111111
Moirai,0.4398917001538848,1.1204591143152371,4.424895079423156,14.497268487604497,-0.513633381392394,1.6252661904950518,0.6603333333333333,0.39005555555555554
SeasonalNaive,0.4772869113633775,1.215709388909556,4.801055588969002,14.61565991991546,-0.390722231228559,1.8261295830660411,0.7711111111111111,0.5898333333333333
