rival,gap_min,gap_max,DM_p_max,verdict
SeasonalNaive,-0.009199774113264385,-0.0039151994156148145,0.03867706498007041,rival beats in >=1
Chronos,0.006307661986335963,0.011592236683985534,0.17147988699756558,TIE (not unanimous TFT)
TimesFM,-0.0010962891757597334,0.004188285521889837,0.885992228403267,TIE (not unanimous TFT)
Moirai,0.005988390587884022,0.011272965285533593,0.141360761392961,TIE (not unanimous TFT)
TabPFN,-0.0019622823829540045,0.0033222923146955657,0.6092955257318856,TIE (not unanimous TFT)
