,WAPE,MASE,MAE,RMSE,bias,pinball,cov_10_90,cov_25_75
SeasonalNaive,0.0359389907576461,0.6635207984653428,26503.013336389962,58438.317639502144,-15846.496112813327,11173.291377343228,0.9184582607011428,0.7408483439860546
TabPFN,0.04317648248795648,0.7971424219596024,31840.262263159533,76254.57503567312,-12734.993508988593,11498.594525530774,0.6836141778036026,0.3833042804570986
TimesFM,0.044042475695150754,0.8131307536347443,32478.884245459074,78891.13253739754,-12309.121748602332,11723.316291211771,0.8028278132868487,0.46629866356769323
Moirai,0.05112715545879451,0.9439310981781995,37703.44281823856,98710.48498213076,-4782.315805515292,14599.534224822408,0.8677125702111176,0.520337013364323
Chronos,0.05144642685724645,0.9498256213343041,37938.88777517017,111587.6313719631,-5326.820296090727,14004.814349875442,0.9279488669378269,0.5882239008328491
