rival,gap_min,gap_max,DM_p_max,verdict
SeasonalNaive,0.05355229626349545,0.07097500185557193,2.6274587875682138e-06,TFT beats in ALL 3
Chronos,-0.007078123985130691,0.01034458160694579,0.5932758222192765,TIE (not unanimous TFT)
TimesFM,-0.013489753631531542,0.003932951960544939,0.5240872388984353,rival beats in >=1
Moirai,0.016157085054002762,0.033579790646079244,0.1621285765219783,TIE (not unanimous TFT)
TabPFN,0.002995646407180863,0.020418351999257345,0.7094498865916443,TIE (not unanimous TFT)
